MoveID,Name,Type,Frequency,AC,DamageBase,Class,Range,Details,Contest,PageNum,TM
1,Attack Order,1,At-Will,2,8,Physical,"6, 1 Target",Attack Order is a Critical Hit on 18+.,Smart - Incentives,316,
2,Bug Bite,1,At-Will,2,6,Physical,"Melee, 1 Target","If the target has a consumable Held Item, Bug Bite destroys the Item and Bug Bite's user may use the Item's effect.",Tough - Attention Grabber,316,
3,Bug Buzz,1,Scene x2,2,9,Special,"Cone 2 or Close Blast 2, Sonic, Smite",Bug Buzz lowers the Special Defense of all targets on 19+.,Cute - Incentives,316,
4,Defend Order,1,EOT,0,0,Status,Self,Raise the user's Defense and Special Defense 1 Combat Stage each.,Smart - Get Ready!,316,
5,Fell Stinger,1,At-Will,2,3,Physical,"Melee, 1 Target","If the user successfully knocks out a target with Fell Stinger, raise their Attack by 2 Combat Stages.",Smart - Desperation,316,
6,Fury Cutter,1,At-Will,3,4,Physical,"Melee, 1 Target","If Fury Cutter is used successfully and consecutively on the same target, the Damage Base is increased by +4. For example, the first hit would have a DB of 4; the second hit a DB of 8; the third hit a DB of 12; the fourth and further hits a DB of 16. If Fury Cuter misses or fails to damage its target, its Damage Base resets.",Cool - Reliable,316,
7,Heal Order,1,Daily x2,0,0,Status,Self,The user regains Hit Points equal to half of its full Hit Point value.,Smart - Reflective Appeal,316,
8,Infestation,1,Scene x2,4,4,Special,"3, 1 Target",The target is put in a Vortex.,Smart - Gamble,317,TM 83
9,Leech Life,1,At-Will,2,2,Physical,"Melee, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",Smart - Good Show!,317,
10,Megahorn,1,Scene x2,5,12,Physical,"Melee, 1 Target, Push",The target is pushed 1 Meter.,Cool - Desperation,317,
11,Pin Missile,1,EOT,4,3,Physical,"6, 1 Target, Five Strike",None,Cool - Reliable,317,
12,Powder,1,Scene x2,0,0,Status,"6, 1 Target, Priority, Powder","The target is dusted with a layer of flammable powder. If it uses a damaging Fire-Type attack, it creates a Blast 3 centered on itself as the powder explodes, and the powder is removed. All targets within the Blast take damage equal to what the user of the Fire-Type attack would roll for the damage of their attack. This damage is Typeless or Fire-Type, whichever would be more effective.",Beauty - Sabotage,317,
13,Quiver Dance,1,Scene x2,0,0,Status,Self,"Raise the user's Special Attack, Special Defense, and Speed by +1 Combat Stage each.",Cool - Get Ready!,317,
14,Rage Powder,1,Scene x2,0,0,Status,"Burst 1 or Line 6, Powder","All targets hit by Rage Powder are Enraged. While enraged, they must shift to target the user when using a Move or Attack if the user is within reach. If the user is Fainted or Switched out, all targets hit by Rage Powder are cured of rage.",Smart - Tease,317,
15,Signal Beam,1,EOT,2,8,Special,"6, 1 Target",Signal Beam confuses the target on 19+.,Beauty - Incentives,318,
16,Silver Wind,1,At-Will,2,6,Special,"6, 1 Target, Spirit Surge","On 19+, the user has each of its stats raised by +1 Combat Stage.",Beauty - Incentives,318,
17,Spider Web,1,Scene x2,0,0,Status,5,"Spider Web cannot miss. The target is Stuck and Trapped. If the user is freed of the Stuck condition, they are freed of Trapped as well. Grants Threaded",Smart - Sabotage,318,
18,Steamroller,1,EOT,2,7,Physical,"Melee, Pass","Steamroller Flinches the target on 15+. If the target is Small, Steamroller deals an additional +5 Damage.",Tough - Steady Performance,318,
19,Sticky Web,1,EOT,0,0,Physical,"6, Hazard","Set 8 square meters of Sticky Web hazards within your range, all 8 meters must be adjacent with at least one other space of Sticky Web. Sticky Web causes Terrain to become Slow Terrain, and a foe that runs into the hazard has its Speed lowered by one stage, and they become Slowed until the end of their next turn. Flying- type Pokémon and Pokémon and Trainers with Levitate are not affected by Sticky Web. Bug-type Pokémon may move over Sticky Web harmlessly, destroying the Hazards as they do so. Grants Threaded",Smart - Sabotage,318,
20,String Shot,1,At-Will,3,0,Status,Cone 2,"Targets have their Speed CS lowered by -1. If this lowers their Speed CS to -6, or if their Speed CS was already at -6, the target is instead Stuck. Grants Threaded",Smart - Excitement,318,
21,Struggle Bug,1,At-Will,2,5,Special,Cone 2,"On hit, lowers the target's Special Attack by -1 CS.",Smart - Excitement,318,TM 76
22,Tail Glow,1,EOT,0,0,Status,Self,Raise the user's Special Attack 3 Combat Stages. Grants Glow,Beauty - Get Ready!,319,
23,Twineedle,1,At-Will,3,3,Physical,"Melee, 1 Target, Double Strike",Twineedle Poisons the target on an Accuracy Check of 18+,Cool - Reliable,319,
24,U-Turn,1,At-Will,2,7,Physical,"Melee, 1 Target, Dash","If U-Turn successfully hits its target, the user deals damage and then immediately is returned to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using U-Turn lets a Trapped user be recalled.",Cute - Inversed Appeal,319,TM 89
25,X-Scissor,1,At-Will,2,8,Physical,"Melee, 1 Target, Dash",None,Beauty - Exhausting Act,319,TM 81
26,Assurance,2,At-Will,2,6,Physical,"Melee, 1 Target","When you hit with Assurance, if Assurance's target has already been damaged by a Move on the same round Assurance is being used, Assurance has a Damage Base of 12 (3d12+10 / 30) instead. This effect may trigger only once per Scene per Target.",Beauty - Double Time,320,
27,Beat Up,2,EOT,0,0,Physical,"Melee, 1 Target",The user and up to two allies adjacent to the target may each make a Struggle Attack against the target. These Struggle Attacks hit for Dark Type Damage instead of their usual Type.,Smart - Reliable,320,
28,Bite,2,At-Will,2,6,Physical,"Melee, 1 Target",Bite Flinches the target on 15+.,Tough - Steady Performance,320,
29,Crunch,2,At-Will,2,8,Physical,"Melee, 1 Target",Crunch lowers the target's Defense 1 Combat Stage on 17+,Tough - Exhausting Act,320,
30,Dark Pulse,2,At-Will,2,8,Special,"8, 1 Target, Aura",Dark Pulse Flinches the target on 17+,Cool - Exhausting Act,320,TM 97
31,Dark Void,2,EOT,4,0,Status,"Melee, 1 Target","The target falls Asleep. Once per Scene, Dark Void may be used as if its range were “Burst 5, Friendly” instead.",Smart - Excitement,320,
