"Number","Name","Type1","Type2","Male","Female","WeightClass","Size","BaseHP","BaseAtk","BaseDef","BaseSpAtk","BaseSpDef","BaseSpeed","NumberEvols","Capabilities","Skills","MinimumLevel"
1,"Bulbasaur",10,14,87.5,12.5,1,"Small",5,5,5,7,7,5,2,"Overland 5, Swim 3, Jump 0/2, Power 2, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 3d6+2, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 2d6+1",1
2,"Ivysaur",10,14,87.5,12.5,2,"Medium",6,6,6,8,8,6,1,"Overland 6, Swim 3, Jump 1/1, Power 3, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 4d6+3, Acro 2d6, Combat 3d6, Stealth 2d6, Percep 2d6, Focus 3d6+2",15
3,"Venusaur",10,14,87.5,12.5,5,"Large",8,8,8,10,10,8,0,"Overland 6, Swim 4, Jump 2/2, Power 8, Intelligence 4, Naturewalk (Grassland, Forest), Alluring (while in Rain only)","Athl 5d6+3, Acro 1d6, Combat 4d6, Stealth 1d6, Percep 2d6, Focus 5d6+3",30
4,"Charmander",7,0,87.5,12.5,1,"Small",4,5,4,6,5,7,2,"Overland 5, Swim 3, Jump 1/1, Power 2, Intelligence 3, Firestarter, Glow, Underdog","Athl 2d6+2, Acro 3d6, Combat 2d6, Stealth 3d6, Percep 2d6, Focus 2d6",1
5,"Charmeleon",7,0,87.5,12.5,2,"Medium",6,6,6,8,7,8,1,"Overland 6, Swim 4, Jump 1/1, Power 4, Intelligence 3, Firestarter, Glow, Underdog","Athl 4d6+2, Acro 3d6, Combat 3d6+2, Stealth 3d6, Percep 2d6, Focus 3d6",15
6,"Charizard",7,8,87.5,12.5,4,"Medium",8,8,8,11,9,10,0,"Overland 6, Swim 5, Sky 8, Jump 2/3, Power 8, Intelligence 4, Firestarter, Glow, Heater, Mountable 1","Athl 5d6+2, Acro 3d6, Combat 4d6+3, Stealth 1d6, Percep 2d6, Focus 4d6",30
7,"Squirtle",18,0,87.5,12.5,1,"Small",4,5,7,5,6,4,2,"Overland 6, Swim 6, Jump 1/1, Power 2, Intelligence 3, Fountain, Underdog","Athl 2d6+2, Acro 3d6+2, Combat 2d6, Stealth 3d6, Percep 3d6, Focus 2d6+3",1
8,"Wartortle",18,0,87.5,12.5,2,"Medium",6,6,8,7,8,6,1,"Overland 6, Swim 6, Jump 1/1, Power 4, Intelligence 3, Fountain, Underdog","Athl 3d6+2, Acro 3d6+2, Combat 3d6+1, Stealth 3d6+2, Percep 3d6, Focus 3d6+3",15
9,"Blastoise",18,0,87.5,12.5,4,"Medium",8,8,10,9,11,8,0,"Overland 6, Swim 9, Jump 1/1, Power 9, Intelligence 4, Fountain, Mountable 1","Athl 4d6+2, Acro 1d6+2, Combat 4d6+2, Stealth 1d6+2, Percep 3d6+3, Focus 4d6+3",30
10,"Caterpie",1,0,50,50,1,"Small",5,3,4,2,2,5,2,"Overland 5, Swim 2, Jump 1/1, Power 1, Intelligence 3, Naturewalk (Grassland, Forest), Wallclimber, Threaded, Underdog","Athl 3d6, Acro 1d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 3d6",1
11,"Metapod",1,0,50,50,1,"Small",5,2,6,3,3,3,1,"Overland 2, Swim 2, Jump 1/1, Power 1, Intelligence 3, Naturewalk (Grassland, Forest), Threaded, Underdog","Athl 1d6, Acro 1d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 3d6",5
12,"Butterfree",1,8,50,50,3,"Medium",6,5,5,9,8,7,0,"Overland 3, Sky 8, Swim 2, Jump 1/1, Power 2, Intelligence 4, Naturewalk (Grassland, Forest), Wallclimber, Threaded","Athl 3d6, Acro 3d6, Combat 2d6, Stealth 2d6, Percep 6d6+3, Focus 5d6",10
13,"Weedle",1,14,50,50,1,"Small",4,4,3,2,2,5,2,"Overland 5, Burrow 1, Jump 1/1, Power 1, Intelligence 2, Naturewalk (Grassland, Forest), Threaded, Wallclimber, Underdog","Athl 3d6, Acro 1d6, Combat 2d6, Stealth 3d6, Percep 2d6, Focus 2d6",1
14,"Kakuna",1,14,50,50,1,"Small",5,3,5,3,3,4,1,"Overland 2, Swim 2, Jump 1/1, Power 1, Intelligence 3, Naturewalk (Grassland, Forest), Threaded, Underdog","Athl 1d6, Acro 1d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 3d6",5
15,"Beedrill",1,14,50,50,3,"Medium",7,9,4,5,8,8,0,"Overland 2, Swim 2, Sky 8, Jump 3/4, Power 4, Intelligence 4","Athl 3d6+2, Acro 5d6+3, Combat 4d6+1, Stealth 3d6+3, Percep 3d6+3, Focus 3d6+3",10
16,"Pidgey",13,8,50,50,1,"Small",4,5,4,4,4,6,2,"Overland 2, Swim 2, Sky 5, Jump 1/1, Power 1, Intelligence 2, Underdog","Athl 2d6, Acro 3d6, Combat 2d6, Stealth 3d6, Percep 3d6, Focus 2d6",1
