PokemonName,MoveName,Level
Bulbasaur,Tackle,1
Bulbasaur,Growl,3
Bulbasaur,Leech Seed,7
Bulbasaur,Vine Whip,9
Bulbasaur,Poison Powder,13
Bulbasaur,Sleep Powder,13
Bulbasaur,Take Down,15
Bulbasaur,Razor Leaf,19
Bulbasaur,Sweet Scent,21
Bulbasaur,Growth,25
Bulbasaur,Double-Edge,27
Bulbasaur,Worry Seed,31
Bulbasaur,Synthesis,33
Bulbasaur,Seed Bomb,37
Ivysaur,Growl,3
Ivysaur,Leech Seed,7
Ivysaur,Vine Whip,9
Ivysaur,Poison Powder,13
Ivysaur,Sleep Powder,13
Ivysaur,Take Down,15
Ivysaur,Razor Leaf,20
Ivysaur,Sweet Scent,23
Ivysaur,Growth,28
Ivysaur,Double-Edge,31
Ivysaur,Worry Seed,36
Ivysaur,Synthesis,39
Ivysaur,Solar Beam,44
Venusaur,Growl,3
Venusaur,Leech Seed,7
Venusaur,Vine Whip,9
Venusaur,Poison Powder,13
Venusaur,Sleep Powder,13
Venusaur,Take Down,15
Venusaur,Razor Leaf,20
Venusaur,Sweet Scent,23
Venusaur,Growth,28
Venusaur,Double-Edge,31
Venusaur,Petal Dance,32
Venusaur,Worry Seed,39
Venusaur,Synthesis,45
Venusaur,Solar Beam,53
Chikorita,Tackle,1
Chikorita,Growl,3
Chikorita,Razor Leaf,6
Chikorita,Poison Powder,9
Chikorita,Synthesis,12
Chikorita,Reflect,17
Chikorita,Magical Leaf,20
Chikorita,Natural Gift,23
Chikorita,Sweet Scent,28
Chikorita,Light Screen,31
Chikorita,Body Slam,34
Chikorita,Safeguard,39
Chikorita,Aromatherapy,42
Chikorita,Solar Beam,45
Bayleef,Growl,3
Bayleef,Razor Leaf,6
Bayleef,Poison Powder,9
Bayleef,Synthesis,12
Bayleef,Reflect,17
Bayleef,Magical Leaf,20
Bayleef,Natural Gift,23
Bayleef,Sweet Scent,28
Bayleef,Light Screen,31
Bayleef,Body Slam,34
Bayleef,Safeguard,39
Bayleef,Aromatherapy,42
Bayleef,Solar Beam,45
Meganium,Growl,3
Meganium,Razor Leaf,6
Meganium,Poison Powder,9
Meganium,Synthesis,12
Meganium,Reflect,18
Meganium,Magical Leaf,22
Meganium,Natural Gift,26
Meganium,Petal Dance,32
Meganium,Sweet Scent,34
Meganium,Light Screen,40
Meganium,Body Slam,46
Meganium,Safeguard,54
Meganium,Aromatherapy,60
Meganium,Solar Beam,66
Meganium,Petal Blizzard,70
Treecko,Pound,1
Treecko,Leer,3
Treecko,Absorb,6
Treecko,Quick Attack,11
Treecko,Pursuit,16
Treecko,Screech,21
Treecko,Mega Drain,26
Treecko,Agility,31
Treecko,Slam,36
Treecko,Detect,41
Treecko,Giga Drain,46
Treecko,Energy Ball,51
Grovyle,Leer,3
Grovyle,Absorb,6
Grovyle,Quick Attack,11
Grovyle,Fury Cutter,16
Grovyle,Pursuit,17
Grovyle,Screech,23
Grovyle,Leaf Blade,29
Grovyle,Agility,35
Grovyle,Slam,41
Grovyle,Detect,47
Grovyle,False Swipe,53
Grovyle,Leaf Storm,59
Sceptile,Leer,3
Sceptile,Absorb,6
Sceptile,Quick Attack,11
Sceptile,X-Scissor,16
Sceptile,Pursuit,17
Sceptile,Screech,23
Sceptile,Leaf Blade,29
Sceptile,Agility,35
Sceptile,Slam,43
Sceptile,Detect,51
Sceptile,False Swipe,59
Sceptile,Leaf Storm,67
Turtwig,Tackle,1
Turtwig,Withdraw,5
Turtwig,Absorb,9
Turtwig,Razor Leaf,13
Turtwig,Curse,17
Turtwig,Bite,21
Turtwig,Mega Drain,25
Turtwig,Leech Seed,29
Turtwig,Synthesis,33
Turtwig,Crunch,37
Turtwig,Giga Drain,41
Turtwig,Leaf Storm,45
Grotle,Withdraw,5
Grotle,Absorb,9
Grotle,Razor Leaf,13
Grotle,Curse,17
Grotle,Bite,22
Grotle,Mega Drain,27
Grotle,Leech Seed,32
Grotle,Synthesis,37
Grotle,Crunch,42
Grotle,Giga Drain,47
Grotle,Leaf Storm,52
Torterra,Withdraw,5
Torterra,Absorb,9
Torterra,Razor Leaf,13
Torterra,Curse,17
Torterra,Bite,22
Torterra,Mega Drain,27
Torterra,Earthquake,32
Torterra,Leech Seed,33
Torterra,Synthesis,39
Torterra,Crunch,45
Torterra,Giga Drain,51
Torterra,Leaf Storm,57
Snivy,Tackle,1
Snivy,Leer,4
Snivy,Vine Whip,7
Snivy,Wrap,10
Snivy,Growth,13
Snivy,Leaf Tornado,16
Snivy,Leech Seed,19
Snivy,Mega Drain,22
Snivy,Slam,25
Snivy,Leaf Blade,28
Snivy,Coil,31
Snivy,Giga Drain,34
Snivy,Wring Out,37
Snivy,Gastro Acid,40
Snivy,Leaf Storm,43
Servine,Leer,4
Servine,Vine Whip,7
Servine,Wrap,10
Servine,Growth,13
