PokemonName,MoveName
Bulbasaur,Cut
Bulbasaur,Strength
Bulbasaur,Toxic
Bulbasaur,Venoshock
Bulbasaur,Hidden Power
Bulbasaur,Sunny Day
Bulbasaur,Light Screen
Bulbasaur,Protect
Bulbasaur,Safeguard
Bulbasaur,Frustration
Bulbasaur,Solar Beam
Bulbasaur,Return
Bulbasaur,Double Team
Bulbasaur,Sludge Bomb
Bulbasaur,Facade
Bulbasaur,Rest
Bulbasaur,Attract
Bulbasaur,Round
Bulbasaur,Echoed Voice
Bulbasaur,Energy Ball
Bulbasaur,Flash
Bulbasaur,Swords Dance
Bulbasaur,Grass Knot
Bulbasaur,Swagger
Bulbasaur,Sleep Talk
Bulbasaur,Substitute
Bulbasaur,Rock Smash
Bulbasaur,Nature Power
Bulbasaur,Confide
Ivysaur,Cut
Ivysaur,Strength
Ivysaur,Toxic
Ivysaur,Venoshock
Ivysaur,Hidden Power
Ivysaur,Sunny Day
Ivysaur,Light Screen
Ivysaur,Protect
Ivysaur,Safeguard
Ivysaur,Frustration
Ivysaur,Solar Beam
Ivysaur,Return
Ivysaur,Double Team
Ivysaur,Sludge Bomb
Ivysaur,Facade
Ivysaur,Rest
Ivysaur,Attract
Ivysaur,Round
Ivysaur,Echoed Voice
Ivysaur,Energy Ball
Ivysaur,Flash
Ivysaur,Swords Dance
Ivysaur,Grass Knot
Ivysaur,Swagger
Ivysaur,Sleep Talk
Ivysaur,Substitute
Ivysaur,Rock Smash
Ivysaur,Nature Power
Ivysaur,Confide
Venusaur,Cut
Venusaur,Strength
Venusaur,Roar
Venusaur,Toxic
Venusaur,Venoshock
Venusaur,Hidden Power
Venusaur,Sunny Day
Venusaur,Hyper Beam
Venusaur,Light Screen
Venusaur,Protect
Venusaur,Safeguard
Venusaur,Frustration
Venusaur,Solar Beam
Venusaur,Earthquake
Venusaur,Return
Venusaur,Double Team
Venusaur,Sludge Bomb
Venusaur,Facade
Venusaur,Rest
Venusaur,Attract
Venusaur,Round
Venusaur,Echoed Voice
Venusaur,Energy Ball
Venusaur,Giga Impact
Venusaur,Flash
Venusaur,Swords Dance
Venusaur,Bulldoze
Venusaur,Grass Knot
Venusaur,Swagger
Venusaur,Sleep Talk
Venusaur,Substitute
Venusaur,Rock Smash
Venusaur,Nature Power
Venusaur,Confide
Chikorita,Cut
Chikorita,Toxic
Chikorita,Hidden Power
Chikorita,Sunny Day
Chikorita,Light Screen
Chikorita,Protect
Chikorita,Safeguard
Chikorita,Frustration
Chikorita,Solar Beam
Chikorita,Return
Chikorita,Double Team
Chikorita,Reflect
Chikorita,Facade
Chikorita,Rest
Chikorita,Attract
Chikorita,Round
Chikorita,Echoed Voice
Chikorita,Energy Ball
Chikorita,Flash
Chikorita,Swords Dance
Chikorita,Grass Knot
Chikorita,Swagger
Chikorita,Sleep Talk
Chikorita,Substitute
Chikorita,Nature Power
Bayleef,Cut
Bayleef,Strength
Bayleef,Toxic
Bayleef,Hidden Power
Bayleef,Sunny Day
Bayleef,Light Screen
Bayleef,Protect
Bayleef,Safeguard
Bayleef,Frustration
Bayleef,Solar Beam
Bayleef,Return
Bayleef,Double Team
Bayleef,Reflect
Bayleef,Facade
Bayleef,Rest
Bayleef,Attract
Bayleef,Round
Bayleef,Echoed Voice
Bayleef,Energy Ball
Bayleef,Flash
Bayleef,Swords Dance
Bayleef,Grass Knot
Bayleef,Swagger
Bayleef,Sleep Talk
Bayleef,Substitute
Bayleef,Rock Smash
Bayleef,Nature Power
Meganium,Cut
Meganium,Strength
Meganium,Toxic
Meganium,Hidden Power
Meganium,Sunny Day
Meganium,Hyper Beam
Meganium,Light Screen
Meganium,Protect
Meganium,Safeguard
Meganium,Frustration
Meganium,Solar Beam
Meganium,Earthquake
Meganium,Return
Meganium,Double Team
Meganium,Reflect
Meganium,Facade
Meganium,Rest
Meganium,Attract
Meganium,Round
Meganium,Echoed Voice
Meganium,Energy Ball
Meganium,Giga Impact
Meganium,Flash
Meganium,Swords Dance
Meganium,Bulldoze
Meganium,Dragon Tail
Meganium,Grass Knot
Meganium,Swagger
Meganium,Sleep Talk
Meganium,Substitute
Meganium,Rock Smash
Meganium,Nature Power
Treecko,Cut
Treecko,Strength
Treecko,Toxic
Treecko,Hidden Power
Treecko,Sunny Day
Treecko,Protect
Treecko,Safeguard
Treecko,Frustration
Treecko,Solar Beam
Treecko,Return
Treecko,Dig
Treecko,Brick Break
Treecko,Double Team
Treecko,Rock Tomb
Treecko,Aerial Ace
Treecko,Facade
Treecko,Rest
Treecko,Attract
Treecko,Round
Treecko,Energy Ball
Treecko,Fling
Treecko,Acrobatics
Treecko,Flash
Treecko,Swords Dance
Treecko,Rock Slide
Treecko,Grass Knot
Treecko,Swagger
Treecko,Sleep Talk
Treecko,Substitute
Treecko,Rock Smash
Treecko,Nature Power
Treecko,Power-Up Punch
Treecko,Confide
Grovyle,Cut
Grovyle,Strength
Grovyle,Toxic
Grovyle,Hidden Power
Grovyle,Sunny Day
Grovyle,Protect
Grovyle,Safeguard
Grovyle,Frustration
Grovyle,Solar Beam
Grovyle,Return
Grovyle,Dig
Grovyle,Brick Break
Grovyle,Double Team
Grovyle,Rock Tomb
Grovyle,Aerial Ace
Grovyle,Facade
Grovyle,Rest
Grovyle,Attract
Grovyle,Low Sweep
Grovyle,Round
Grovyle,Energy Ball
Grovyle,False Swipe
Grovyle,Fling
Grovyle,Acrobatics
Grovyle,Flash
Grovyle,Swords Dance
Grovyle,Rock Slide
Grovyle,X-Scissor
Grovyle,Grass Knot
Grovyle,Swagger
Grovyle,Sleep Talk
Grovyle,Substitute
Grovyle,Rock Smash
Grovyle,Nature Power
Grovyle,Power-Up Punch
Grovyle,Confide
Sceptile,Cut
Sceptile,Strength
Sceptile,Hone Claws
Sceptile,Dragon Claw
Sceptile,Roar
Sceptile,Toxic
